Pclass,golden_ticket,is_family_boy,cabin_shared,high_fare,is_large_family,salutation_impact,Sex,Survived,score,pred,match
3,1,0,0,1.8408367497644573,0,0.3140225787284611,1,0.0,0.08020459663055232,0,1
3,0,0,0,0.961269129892287,0,0.3140225787284611,1,0.0,0.033752556747442854,0,1
3,1,0,0,1.0,1,-0.008985269854835054,1,0.0,0.08843663733712132,0,1
1,1,0,2,2.0554716181770485,0,-0.06749851455733807,0,1.0,0.9637280753195029,1,1
3,1,0,0,0.9835999999999999,0,-0.06749851455733807,0,1.0,0.5034221391256277,0,1
1,1,0,2,0.9732096133964696,0,0.3140225787284611,1,1.0,0.5139208954476949,0,1
1,1,0,2,4.896760009700188,0,-0.08355509771940361,0,1.0,0.9704725662696638,1,1
1,0,0,2,1.9825645786409778,0,-0.08355509771940361,0,1.0,0.8974241501609558,1,1
1,1,0,2,1.27770740131279,0,0.3140225787284611,1,1.0,0.46558540189605246,0,1
3,1,0,0,0.9204247409029563,0,-0.06749851455733807,0,1.0,0.6527339539182644,1,1
3,1,0,0,0.5433853136112686,0,0.3140225787284611,1,0.0,0.17920018007823937,0,1
2,0,0,0,1.0,0,-0.08355509771940361,0,1.0,0.809252461840318,1,1
3,1,0,0,0.9867332128033409,0,0.3140225787284611,1,0.0,0.1094553041276071,0,1
2,0,0,0,1.0,0,-0.08355509771940361,0,1.0,0.809252461840318,1,1
1,1,0,2,2.65345760635107,0,-0.08355509771940361,0,1.0,0.9727611364705983,1,1
3,1,0,0,1.0,0,-0.08355509771940361,0,0.0,0.4400306764130571,0,1
3,1,0,0,1.1745308242723638,0,0.3140225787284611,1,0.0,0.06573123065604426,0,1
2,1,0,0,1.4,0,0.3140225787284611,1,0.0,0.08855473772159674,0,1
3,1,0,0,1.024929337169922,0,0.3140225787284611,1,0.0,0.10611810074058713,0,1
3,1,1,0,0.5892197423586224,0,-0.008985269854835054,1,1.0,0.9396717615996831,1,1
2,0,0,0,0.8846153846153846,0,0.3140225787284611,1,0.0,0.09566054388242667,0,1
1,0,0,0,4.835734980663442,0,-0.08355509771940361,0,1.0,0.9446746575703914,1,1
3,0,0,0,0.9851417076214001,0,0.3140225787284611,1,0.0,0.03142039874715924,0,1
1,0,0,0,0.9891638693537887,0,0.3140225787284611,1,0.0,0.41873922587061047,0,1
3,1,0,0,1.2525145781874667,0,-0.08355509771940361,0,0.0,0.5125902203498921,0,0
1,1,0,2,1.6173971810390544,0,-0.06749851455733807,0,1.0,0.9537526148067372,1,1
3,1,0,0,1.0052965292454994,0,0.3140225787284611,1,0.0,0.0808021517017676,0,1
3,1,0,0,0.9867332128033409,0,-0.08355509771940361,0,1.0,0.7426077094755155,1,1
2,0,0,0,1.0,0,-0.06749851455733807,0,1.0,0.8546845361267629,1,1
3,1,0,0,0.9579399141630901,1,-0.08355509771940361,0,0.0,0.15915087906038514,0,1
3,1,0,0,1.1029130910850247,0,0.3140225787284611,1,0.0,0.09624563176601551,0,1
2,0,0,0,0.8076923076923077,0,-0.08355509771940361,0,1.0,0.8814238944107956,1,1
3,1,0,0,1.209543938275063,0,0.3140225787284611,1,0.0,0.13434424435833558,0,1
1,1,0,2,1.1327521729696615,0,0.3140225787284611,1,1.0,0.4679971104912497,0,1
3,1,0,0,0.4874569329329883,0,0.3140225787284611,1,0.0,0.134036010562719,0,1
1,1,0,0,0.9732096133964696,0,-0.0014182925141829061,1,1.0,0.6806207234329605,1,1
3,0,0,0,0.8212166738814902,0,0.3140225787284611,1,0.0,0.042755898941118614,0,1
2,0,0,0,0.8076923076923077,0,0.3140225787284611,1,0.0,0.12736296247089782,0,1
2,0,0,0,1.0,0,0.3140225787284611,1,0.0,0.18457162717417933,0,1
2,1,0,0,1.0769230769230769,0,-0.0014182925141829061,1,0.0,0.4787580762452204,0,0
1,1,0,2,0.9524004218460455,0,0.3140225787284611,1,1.0,0.5210036845805034,0,1
3,1,0,0,0.9198899951618242,0,0.3140225787284611,1,0.0,0.11868902961935181,0,1
3,1,0,0,1.846146011051412,0,0.3140225787284611,1,0.0,0.08020459663055232,0,1
3,0,0,0,1.3626609442060085,1,0.3140225787284611,1,0.0,0.022610497161592448,0,1
1,0,0,2,1.1710316441578883,0,-0.06749851455733807,0,1.0,0.9262067632736779,1,1
3,1,0,0,1.0052965292454994,0,0.3140225787284611,1,0.0,0.0808021517017676,0,1
3,1,0,0,1.0052965292454994,0,0.3140225787284611,1,0.0,0.0808021517017676,0,1
1,1,0,2,1.0,1,-0.08355509771940361,0,1.0,0.9275941021482814,1,1
2,0,0,0,1.0,0,0.3140225787284611,1,0.0,0.18457162717417933,0,1
1,0,0,2,0.9578117878792617,0,0.3140225787284611,1,0.0,0.18498457785918399,0,1
1,1,0,0,0.9572553574391505,0,0.3140225787284611,1,1.0,0.24560790466999324,0,0
1,1,0,2,0.888823890027538,0,0.3140225787284611,1,1.0,0.5465651756887246,1,1
2,1,0,0,0.8761904761904762,0,-0.08355509771940361,0,1.0,0.8868422953732249,1,1
3,1,0,0,1.0052965292454994,0,0.3140225787284611,1,0.0,0.0808021517017676,0,1
1,1,0,0,0.9476828038647589,0,0.3140225787284611,1,1.0,0.23451871799459972,0,0
2,0,0,0,2.8,0,0.3140225787284611,1,0.0,0.02794460619376433,0,1
1,0,0,0,0.8471709913336481,0,0.3140225787284611,1,0.0,0.5253844381359672,0,0
3,1,0,0,1.0,1,-0.08355509771940361,0,0.0,0.11840943051831246,0,1
3,1,0,0,0.9579399141630901,1,-0.008985269854835054,1,0.0,0.10941749232020148,0,1
3,1,0,0,1.5,0,0.3140225787284611,1,1.0,0.08530693148404421,0,0
3,1,0,0,0.9204247409029563,0,0.3140225787284611,1,0.0,0.10588464170162457,0,1
3,1,0,0,0.8275512728386482,1,-0.06749851455733807,0,0.0,0.24609908206053402,0,1
1,0,0,2,1.0979668449692985,0,-0.08355509771940361,0,1.0,0.9127935654678713,1,1
1,0,0,0,1.2635770718196786,0,-0.0014182925141829061,1,0.0,0.5223330723015799,0,0
3,1,0,0,0.7182774193548387,0,-0.06749851455733807,0,1.0,0.6441173989723865,1,1
3,1,0,0,0.9867332128033409,0,0.3140225787284611,1,0.0,0.1094553041276071,0,1
1,1,0,2,0.8273621871370407,0,-0.0014182925141829061,0,1.0,0.8510050423733476,1,1
2,0,0,0,1.2692307692307692,0,0.003039444215914844,1,0.0,0.05297619115670412,0,1
2,1,0,0,0.9904761904761905,0,-0.08355509771940361,0,1.0,0.9199912833125026,1,1
1,0,0,0,0.9572553574391505,0,-0.08355509771940361,0,1.0,0.9342410094034374,1,1
2,0,0,0,1.0,0,-0.06749851455733807,0,1.0,0.8546845361267629,1,1
1,1,0,2,0.7294836237940724,0,0.3140225787284611,1,1.0,0.6985243726590251,1,1
1,1,0,0,1.152735633731884,0,0.3140225787284611,1,0.0,0.19178838582383212,0,1
3,1,0,0,1.024929337169922,0,0.3140225787284611,1,0.0,0.10611810074058713,0,1
3,1,0,0,1.024929337169922,0,0.3140225787284611,1,0.0,0.10611810074058713,0,1
2,0,0,0,0.5384615384615384,0,-0.06749851455733807,0,1.0,0.8384561961931171,1,1
1,1,0,2,1.0,1,0.3140225787284611,1,0.0,0.3042856117430768,0,1
1,1,0,0,0.8845294770833068,0,0.003039444215914844,1,0.0,0.4010154956588967,0,1
3,0,0,0,0.8270479488681216,0,0.3140225787284611,1,0.0,0.042755898941118614,0,1
2,0,0,0,1.1576923076923078,0,0.3140225787284611,1,0.0,0.04730711675961574,0,1
3,1,0,0,1.670794647922403,0,0.3140225787284611,1,0.0,0.08472571167622096,0,1
3,1,1,0,1.0258064516129033,0,-0.008985269854835054,1,1.0,0.9566200468812887,1,1
2,0,0,0,0.9904761904761905,0,-0.06749851455733807,0,0.0,0.8691678417680601,1,0
3,1,0,0,0.9899162231672227,0,0.3140225787284611,1,0.0,0.12047781799398953,0,1
2,1,0,0,2.0,0,0.3140225787284611,1,0.0,0.07659778238565652,0,1
1,1,0,0,2.4875333443949503,0,-0.08355509771940361,0,1.0,0.9901355683808571,1,1
1,1,0,0,7.259984173378091,0,-0.08355509771940361,0,1.0,0.9841656553282234,1,1
3,1,0,0,1.2206844745486491,0,-0.06749851455733807,0,1.0,0.5262751035405957,0,1
2,1,0,2,0.8076923076923077,0,-0.06749851455733807,0,1.0,0.9476623721549329,1,1
1,1,0,2,1.5277070505995094,0,0.3140225787284611,1,0.0,0.32434845025657544,0,1
1,0,0,0,0.0,0,0.3140225787284611,1,0.0,0.14927000307986535,0,1
3,1,0,0,1.0052965292454994,0,0.3140225787284611,1,0.0,0.0808021517017676,0,1
2,0,1,2,0.9904761904761905,0,-0.008985269854835054,1,1.0,0.9435077241246452,1,1
1,0,0,2,0.8133630177054093,0,-0.06749851455733807,0,1.0,0.9398775465165587,1,1
3,1,0,0,0.9579399141630901,1,-0.08355509771940361,0,0.0,0.15915087906038514,0,1
3,1,0,0,0.9204247409029563,0,0.3140225787284611,1,0.0,0.10588464170162457,0,1
2,0,0,0,0.5523809523809524,0,-0.06749851455733807,0,1.0,0.8468046540057296,1,1
3,0,0,0,1.3626609442060085,1,0.3140225787284611,1,0.0,0.022610497161592448,0,1
1,0,0,0,0.8471709913336481,0,-0.0014182925141829061,1,0.0,0.548398566690755,1,0
1,1,0,0,2.448314592400669,0,0.3140225787284611,1,1.0,0.08759310091758082,0,0
3,0,0,0,1.0,1,0.3140225787284611,1,0.0,0.007241963081498535,0,1
2,0,0,0,1.0,0,0.003039444215914844,1,0.0,0.045744255416750465,0,1
3,1,0,2,0.974001171347814,0,0.3140225787284611,1,0.0,0.20680504207519312,0,1
3,1,0,0,0.5067225806451613,0,0.3140225787284611,1,0.0,0.13533074095487585,0,1
3,1,0,2,0.675,0,-0.06749851455733807,0,0.0,0.7445654199951762,1,0
3,1,0,0,1.3064516129032258,0,-0.06749851455733807,0,1.0,0.5031419347419894,0,1
2,0,0,0,0.9730769230769231,0,-0.06749851455733807,0,1.0,0.8769392603166167,1,1
3,0,0,0,1.3626609442060085,1,-0.06749851455733807,0,0.0,0.16782535055136666,0,1
2,0,0,0,1.0,0,0.3140225787284611,1,0.0,0.18457162717417933,0,1
3,1,0,0,1.0723526725795962,0,-0.08355509771940361,0,1.0,0.565829649097262,1,1
3,1,0,0,1.0,0,0.3140225787284611,1,0.0,0.10664567609630932,0,1
1,0,0,2,0.7715692174744997,0,-0.08355509771940361,0,1.0,0.9360771075362584,1,1
3,1,0,0,7.193068676631611,0,0.3140225787284611,1,1.0,0.5617242875340306,1,1
3,0,0,0,1.024929337169922,0,-0.08355509771940361,0,0.0,0.5029391543608124,0,0
1,0,0,2,1.0,0,0.3140225787284611,1,1.0,0.1961769686472577,0,0
2,0,0,0,1.0,0,-0.08355509771940361,0,1.0,0.809252461840318,1,1
3,1,0,0,1.0965670877668774,0,-0.06749851455733807,0,1.0,0.603216278955912,1,1
1,1,0,2,3.191841567379737,0,-0.06749851455733807,0,1.0,0.9730852730556969,1,1
3,1,0,0,1.0052965292454994,0,0.3140225787284611,1,0.0,0.0808021517017676,0,1
2,0,0,0,1.0,0,-0.06749851455733807,0,1.0,0.8546845361267629,1,1
3,1,0,0,7.193068676631611,0,0.3140225787284611,1,1.0,0.5617242875340306,1,1
3,1,0,0,1.0769142624328385,0,0.3140225787284611,1,0.0,0.07344477191770368,0,1
3,1,0,0,1.1029130910850247,0,0.3140225787284611,1,0.0,0.09624563176601551,0,1
1,1,0,0,0.0,0,-0.0014182925141829061,1,0.0,0.6015332529363373,1,0
3,1,0,0,1.1018563316442158,0,0.3140225787284611,1,0.0,0.09624563176601551,0,1
1,1,0,0,0.9476828038647589,0,0.3140225787284611,1,0.0,0.23451871799459972,0,1
3,1,0,0,0.9198899951618242,0,0.3140225787284611,1,0.0,0.11868902961935181,0,1
3,1,0,0,0.5379059373746039,0,0.3140225787284611,1,1.0,0.15290539653291185,0,0
2,0,0,0,0.0,0,0.3140225787284611,1,0.0,0.0592610543524366,0,1
2,0,0,0,0.9634615384615385,0,0.003039444215914844,1,0.0,0.047457632168132674,0,1
3,1,0,0,0.9867332128033409,0,-0.08355509771940361,0,0.0,0.7426077094755155,1,0
3,0,0,0,1.024929337169922,0,0.3140225787284611,1,0.0,0.20016893609739966,0,1
3,0,0,0,0.8976089226146521,0,0.3140225787284611,1,0.0,0.018794138634432224,0,1
3,1,0,0,0.6797332263286795,0,-0.08355509771940361,0,0.0,0.519264252915683,0,0
1,0,0,0,0.829621309780597,0,0.3140225787284611,1,0.0,0.2868684661008572,0,1
3,0,0,0,1.024929337169922,0,0.3140225787284611,1,0.0,0.20016893609739966,0,1
3,1,0,0,0.5361763362897981,0,0.3140225787284611,1,0.0,0.15290539653291185,0,1
3,1,0,0,0.6555188111413983,0,-0.06749851455733807,0,0.0,0.613722773200012,1,0
2,1,0,0,1.0,0,0.3140225787284611,1,0.0,0.11563737456295041,0,1
2,1,0,0,1.0,0,0.3140225787284611,1,0.0,0.11563737456295041,0,1
2,0,0,0,1.0,0,0.3140225787284611,1,0.0,0.18457162717417933,0,1
1,1,0,2,1.2625678104128177,0,-0.08355509771940361,0,1.0,0.9282875293888256,1,1
3,0,0,0,1.024929337169922,0,0.3140225787284611,1,0.0,0.20016893609739966,0,1
3,1,0,0,0.8594127982480712,0,-0.08355509771940361,0,0.0,0.795476343088553,1,0
2,0,0,0,2.5384615384615383,0,-0.08355509771940361,0,1.0,0.9283228821850444,1,1
3,1,0,0,1.1267856688141378,0,-0.08355509771940361,0,0.0,0.4748891292635544,0,0
2,1,0,0,1.0,0,0.3140225787284611,1,0.0,0.11563737456295041,0,1
2,0,0,0,1.0,0,-0.06749851455733807,0,1.0,0.8546845361267629,1,1
1,1,0,2,3.4723532720847663,0,-0.06749851455733807,0,1.0,0.9701429653633892,1,1
3,1,0,0,1.1029130910850247,0,0.3140225787284611,1,0.0,0.09624563176601551,0,1
1,0,0,2,1.1710316441578883,0,0.3140225787284611,1,0.0,0.17322385303072843,0,1
3,1,0,0,1.5883221715769906,0,-0.08355509771940361,0,1.0,0.6565944965483826,1,1
3,1,0,0,1.2206844745486491,0,-0.08355509771940361,0,0.0,0.5058064061063484,0,0
3,1,0,0,0.9899162231672227,0,0.3140225787284611,1,0.0,0.12047781799398953,0,1
2,0,0,0,0.9230769230769231,0,-0.08355509771940361,0,1.0,0.9011275193529202,1,1
2,0,0,0,0.8076923076923077,0,0.3140225787284611,1,0.0,0.12736296247089782,0,1
3,1,0,0,1.0,0,-0.06749851455733807,0,0.0,0.45340856638582705,0,1
2,0,0,0,0.8076923076923077,0,0.3140225787284611,1,1.0,0.12736296247089782,0,0
3,1,0,0,0.9867332128033409,0,-0.08355509771940361,0,0.0,0.7426077094755155,1,0
3,1,0,0,0.9360048602673147,0,-0.08355509771940361,0,1.0,0.8080309925881491,1,1
3,1,0,0,1.0052965292454994,0,0.3140225787284611,1,0.0,0.0808021517017676,0,1
3,1,0,0,0.9204247409029563,0,0.3140225787284611,1,1.0,0.10588464170162457,0,0
1,1,0,0,0.8332947548724596,0,-0.06749851455733807,0,1.0,0.8679682147726543,1,1
3,0,0,0,0.7703523693803159,0,-0.06749851455733807,0,1.0,0.5771689086197603,1,1
3,1,0,0,0.4664,0,0.3140225787284611,1,0.0,0.134036010562719,0,1
3,1,0,2,0.974001171347814,0,0.3140225787284611,1,0.0,0.20680504207519312,0,1
3,1,0,0,0.8981436683557842,0,0.3140225787284611,1,0.0,0.13310261627327116,0,1
3,1,0,0,0.9925644877899723,0,0.3140225787284611,1,0.0,0.1837388279217068,0,1
3,1,0,0,1.0052965292454994,0,0.3140225787284611,1,0.0,0.0808021517017676,0,1
3,1,0,0,1.1029130910850247,0,0.3140225787284611,1,0.0,0.09624563176601551,0,1
3,1,0,0,1.024929337169922,0,0.3140225787284611,1,0.0,0.10611810074058713,0,1
1,1,0,2,1.0,0,-0.06749851455733807,0,1.0,0.9900186287470462,1,1
3,0,0,0,0.923073005525706,0,0.3140225787284611,1,0.0,0.018990636102422492,0,1
3,1,0,0,1.846146011051412,0,0.3140225787284611,1,0.0,0.08020459663055232,0,1
3,1,0,0,0.9204247409029563,0,-0.08355509771940361,0,1.0,0.8142842482786192,1,1
3,1,0,0,1.024929337169922,0,0.3140225787284611,1,0.0,0.10611810074058713,0,1
1,0,0,2,1.5890818747167992,0,-0.08355509771940361,0,1.0,0.8825513637467525,1,1
3,1,0,0,1.0,0,0.3140225787284611,1,0.0,0.10664567609630932,0,1
3,1,0,0,1.024929337169922,0,0.3140225787284611,1,0.0,0.10611810074058713,0,1
